ds,y
11-11-2015,92.37000275
12-11-2015,90.84999847
13-11-2015,89.48999786
16-11-2015,88.40000153
17-11-2015,91.27999878
18-11-2015,91.48999786
19-11-2015,91.38999939
20-11-2015,91.22000122
23-11-2015,90.77999878
24-11-2015,90.69999695
25-11-2015,91.16000366
27-11-2015,90.83000183
30-11-2015,91.09999847
01-12-2015,91.97000122
02-12-2015,92.48000336
03-12-2015,90.79000092
04-12-2015,90.19999695
07-12-2015,89.83999634
08-12-2015,89.31999969
09-12-2015,86.91999817
10-12-2015,85.79000092
11-12-2015,84.52999878
14-12-2015,83.51999664
15-12-2015,86.23999786
16-12-2015,87.05999756
17-12-2015,86.91999817
18-12-2015,83.62000275
21-12-2015,84.94000244
22-12-2015,85.01999664
23-12-2015,86.04000092
24-12-2015,86.47000122
28-12-2015,85.55999756
29-12-2015,86.12999725
30-12-2015,86.41000366
31-12-2015,85.59999847
04-01-2016,83.43000031
05-01-2016,82.33999634
06-01-2016,81.23000336
07-01-2016,78.55999756
08-01-2016,77.68000031
11-01-2016,76.62000275
12-01-2016,78.94000244
13-01-2016,78.95999908
14-01-2016,76.15000153
15-01-2016,75.05000305
19-01-2016,75.76999664
20-01-2016,73.73000336
21-01-2016,73.31999969
22-01-2016,74.06999969
25-01-2016,74.23000336
26-01-2016,74.94000244
27-01-2016,75.37999725
28-01-2016,75.15000153
29-01-2016,76.38999939
01-02-2016,76.23000336
02-02-2016,75.16999817
03-02-2016,77.98999786
04-02-2016,73.95999908
05-02-2016,74
08-02-2016,72.58000183
09-02-2016,74.52999878
10-02-2016,74.48999786
11-02-2016,71.90000153
12-02-2016,73.44000244
16-02-2016,75.29000092
17-02-2016,76.26000214
18-02-2016,77.5
19-02-2016,77.91999817
22-02-2016,79.37000275
23-02-2016,77.98000336
24-02-2016,77.61000061
25-02-2016,77.97000122
26-02-2016,78.77999878
29-02-2016,78.81999969
01-03-2016,79.23999786
02-03-2016,79.58999634
03-03-2016,80.54000092
04-03-2016,80.84999847
07-03-2016,80.41000366
08-03-2016,79.58999634
09-03-2016,78.25
10-03-2016,78.13999939
11-03-2016,78.52999878
14-03-2016,78.30000305
15-03-2016,77.38999939
16-03-2016,78.30000305
17-03-2016,79.41000366
18-03-2016,80.69000244
21-03-2016,79.80999756
22-03-2016,80.20999908
23-03-2016,80.34999847
24-03-2016,79.90000153
28-03-2016,80
29-03-2016,80.08000183
30-03-2016,81.55000305
31-03-2016,81.66000366
01-04-2016,82.94000244
04-04-2016,82.98999786
05-04-2016,80.95999908
06-04-2016,80.38999939
07-04-2016,80.59999847
08-04-2016,80.19999695
11-04-2016,80.75
12-04-2016,81.38999939
13-04-2016,83.38999939
14-04-2016,83.41999817
15-04-2016,83.58000183
18-04-2016,83.84999847
19-04-2016,84.61000061
20-04-2016,85.80000305
21-04-2016,81.34999847
22-04-2016,82.29000092
25-04-2016,81.77999878
